trt,site,plot,Pb
treatment,site1,A,0.08513596886768937
control,site1,A,0.2254366164561361
treatment,site1,A,0.2745305229909718
control,site1,A,0.2723050662316382
treatment,site1,B,0.6158293078187853
control,site1,B,0.4296715254895389
treatment,site1,B,0.6516556669957936
control,site1,B,0.567737752571702
treatment,site2,A,0.11350898211821914
control,site2,A,0.5959253052715212
treatment,site2,A,0.3580499750096351
control,site2,A,0.42880941834300756
treatment,site2,B,0.05190332210622728
control,site2,B,0.2641776674427092
treatment,site2,B,0.39879073086194694
control,site2,B,0.8361341434065253
