ids,Gender,Athlete,Height,Weight,Smoking,Sprint,English,Reading,Math,Writing,LiveOnCampus,SleepTime,StudyTime,,,,,,,,,,81.34
41870,1,0,55.00,101.71,0.00,7.433,86.23,89.19,61.20,88.91,1,9,3,,,,,,,,,,
49342,1,0,55.05,153.83,0.00,6.350,73.72,77.73,66.57,54.00,1,4,6,,,,,,,,,,
35350,1,0,56.36,126.47,0.00,7.570,87.33,67.42,53.17,87.05,1,7,3,,,,,,,,,,
41254,1,0,56.54,129.98,0.00,7.171,85.53,76.35,55.19,84.97,1,4,15,,,,,,,,,,
39290,1,0,56.92,166.97,0.00,6.813,90.43,80.36,57.17,87.33,1,8,7,,,,,,,,,,
24267,1,0,57.01,113.66,0.00,6.822,86.13,84.98,59.08,81.71,1,4,17,,,,,,,,,,
34690,1,0,57.06,113.70,2.00,7.993,83.34,75.52,67.00,78.89,1,2,14,,,,,,,,,,
22417,1,0,57.20,9999.00,0.00,4.56,83.75,81.54,51.95,77.56,1,13,4,,,,,,,,,,
26843,1,0,57.24,170.00,0.00,3.46,81.00,86.66,69.38,45.00,0,9,8,,,,,,,,,,
35687,1,0,57.33,108.01,0.00,8.525,81.74,83.16,46.25,84.22,1,8,7,,,,,,,,,,
24202,1,0,57.40,164.53,0.00,6.839,79.00,78.47,59.89,79.02,1,8,4,,,,,,,,,,
20626,1,0,57.42,179.34,2.00,6.619,73.12,68.65,69.47,78.81,0,6,2,,,,,,,,,,
33377,1,0,57.50,103.44,0.00,7.708,84.18,87.59,61.30,82.64,1,8,3,,,,,,,,,,
43692,1,0,57.82,170.81,0.00,4.56,85.53,89.67,78.05,75.00,1,8,7,,,,,,,,,,
31793,1,0,57.84,155.57,2.00,8.014,94.74,96.24,69.93,88.19,1,4,4,,,,,,,,,,
26435,1,0,58.18,162.45,2.00,5.513,77.97,89.03,79.61,92.30,1,3,5,,,,,,,,,,
44661,1,0,58.31,113.11,0.00,8.133,80.84,82.97,67.53,83.36,1,6,4,,,,,,,,,,
24904,1,0,58.69,135.69,0.00,7.024,86.80,83.24,64.88,86.69,0,6,8,,,,,,,,,,
26154,1,0,58.80,128.73,0.00,6.737,74.88,79.61,51.30,79.64,0,2,7,,,,,,,,,,
41397,1,0,58.93,163.72,0.00,6.673,84.86,80.98,71.64,86.86,0,10,6,,,,,,,,,,
23717,1,0,59.25,110.62,0.00,7.419,85.03,81.98,72.90,85.70,0,5,23,,,,,,,,,,
45377,1,0,59.56,119.99,0.00,6.829,83.60,91.38,68.61,80.35,0,6,8.00,,,,,,,,,,
40303,1,0,59.59,186.40,0.00,4.64,84.67,87.04,73.94,87.61,0,3,4,,,,,,,,,,
41406,1,0,59.68,9999.00,0.00,7.136,83.86,74.11,61.29,82.26,0,6,9,,,,,,,,,,
29009,1,0,60.13,115.83,2.00,8.598,75.56,75.68,57.47,74.78,1,3,3,,,,,,,,,,
42769,1,0,60.15,141.98,1.00,7.66,75.07,72.17,49.40,75.89,1,8,2,,,,,,,,,,
38872,1,0,60.20,183.13,2.00,6.111,83.49,84.04,76.01,87.54,0,4,23,,,,,,,,,,
28689,0,0,60.49,9999.00,1.00,8.001,90.64,91.65,70.38,78.62,0,10,3,,,,,,,,,,
26961,1,0,60.51,134.85,0.00,7.802,83.45,90.41,60.94,76.85,0,5,4,,,,,,,,,,
49572,1,0,60.68,122.24,2.00,7.747,75.69,78.10,47.10,79.72,0,7,7,,,,,,,,,,
35681,1,0,60.84,106.97,0.00,7.374,85.45,82.44,46.14,76.75,0,9,12,,,,,,,,,,
37458,1,0,60.88,148.84,0.00,6.747,80.52,81.38,67.75,82.68,0,2,9,,,,,,,,,,
48764,1,0,60.94,198.51,2.00,6.290,85.55,88.08,72.74,89.31,0,6,26.00,,,,,,,,,,
31419,0,0,61.10,166.91,0.00,6.614,95.81,95.42,74.81,72.48,0,1,3,,,,,,,,,,
46109,0,0,61.16,132.78,0.00,7.53,90.80,77.92,65.46,75.46,1,12,3,,,,,,,,,,
22147,1,0,61.17,126.82,2.00,7.120,85.67,91.34,78.54,88.33,0,5,15,,,,,,,,,,
45784,1,0,61.20,9999.00,2.00,6.54,45.73,80.79,89.76,76.25,0,2,5,,,,,,,,,,
40161,1,0,61.22,197.51,0.00,7.296,87.87,91.89,77.23,86.60,1,10,1,,,,,,,,,,
20248,,0,61.32,153.87,2.00,6.449,88.31,97.32,85.07,88.38,0,5,6,,,,,,,,,,
25714,,0,61.49,237.06,0.00,6.320,82.23,86.94,62.51,75.63,0,8,6,,,,,,,,,,
36681,0,0,61.51,153.93,2.00,6.769,87.60,85.40,60.27,73.29,0,5,9,,,,,,,,,,
49381,1,0,61.53,202.95,2.00,6.73,80.03,80.19,65.69,86.64,0,3,15.00,,,,,,,,,,
34581,0,0,61.53,9999.00,0.00,6.685,89.06,74.67,64.93,69.07,0,0,6,,,,,,,,,,
42783,0,0,61.66,181.77,2.00,7.332,87.71,91.03,76.42,84.27,0,7,2,,,,,,,,,,
31434,0,0,61.75,182.23,2.00,6.801,92.32,91.04,73.11,73.45,0,3,6,,,,,,,,,,
32895,0,0,61.75,9999.00,0.00,7.435,74.00,76.19,70.84,82.31,1,6,13,,,,,,,,,,
46752,1,0,61.94,179.64,2.00,7.013,99.51,95.81,68.91,84.19,1,3,9,,,,,,,,,,
30904,1,0,61.94,204.23,1.00,6.075,77.66,66.99,59.60,76.33,0,3,3,,,,,,,,,,
47122,1,0,62.01,177.30,0.00,7.186,77.71,99.35,85.57,87.08,0,9,6,,,,,,,,,,
46912,0,0,62.10,130.69,2.00,7.973,78.54,81.27,76.78,76.42,0,7,5,,,,,,,,,,
24153,1,0,62.12,106.48,2.00,8.480,81.00,70.87,48.06,88.89,1,7,4,,,,,,,,,,
49155,1,0,62.20,186.84,0.00,6.735,77.17,55.11,40.38,80.62,1,8,3,,,,,,,,,,
41425,1,0,62.27,150.22,1.00,4.56,79.44,91.34,68.44,80.72,0,3,7,,,,,,,,,,
32437,1,0,62.28,128.98,0.00,3.46,74.59,72.61,63.64,78.86,0,6,1,,,,,,,,,,
27435,1,0,62.32,186.50,1.00,4.56,83.83,94.87,73.25,81.85,0,1,5,,,,,,,,,,
25701,1,0,62.36,163.99,0.00,4.64,83.97,85.85,57.74,83.65,1,6,11,,,,,,,,,,
40803,1,0,62.38,135.52,0.00,7.66,94.64,89.06,70.44,88.15,1,3,2,,,,,,,,,,
38528,1,0,62.42,127.89,1.00,7.53,85.24,82.77,82.14,83.03,1,2,5,,,,,,,,,,
38020,1,0,62.43,171.13,1.00,6.54,86.20,79.24,59.85,75.76,0,3,11,,,,,,,,,,
48702,0,0,62.46,155.30,2.00,6.73,84.65,68.73,55.84,73.04,0,7,4,,,,,,,,,,
35023,1,0,62.46,193.87,0.00,4.56,94.43,87.34,79.93,79.63,1,6,19,,,,,,,,,,
20402,0,0,62.46,202.77,0.00,3.456,74.15,80.96,69.39,75.77,0,9,7,,,,,,,,,,
23937,1,0,62.59,139.85,2.00,4.563,83.79,87.48,57.57,81.66,0,4,8,,,,,,,,,,
28874,1,1,62.60,109.93,0.00,4.636,83.14,83.74,53.37,81.09,0,10,12,,,,,,,,,,
47027,1,0,62.73,9999.00,1.00,7.656,80.74,78.99,59.38,76.49,1,3,11,,,,,,,,,,
47506,1,1,62.74,161.47,0.00,7.53,75.09,88.17,72.10,76.65,1,8,7,,,,,,,,,,
34362,1,0,62.79,154.95,1.00,6.535,78.07,75.30,60.59,80.50,0,7,15,,,,,,,,,,
49854,0,0,62.80,256.03,0.00,6.734,81.22,86.67,66.44,78.63,0,7,11,,,,,,,,,,
42850,0,0,62.84,115.98,2.00,7.817,60.96,69.87,58.97,71.56,1,1,4,,,,,,,,,,
47050,1,0,62.89,158.85,2.00,7.256,84.30,78.72,72.52,80.03,0,3,12,,,,,,,,,,
38724,1,1,62.98,159.58,0.00,5.536,80.71,80.56,75.43,75.48,1,4,4,,,,,,,,,,
29516,1,0,62.98,9999.00,2.00,5.34,83.57,84.35,74.31,80.70,1,7,6.00,,,,,,,,,,
21256,1,0,63.02,201.87,0.00,8.232,77.96,80.23,56.93,77.73,0,5,6,,,,,,,,,,
28328,0,0,63.07,191.58,0.00,7.095,76.00,89.00,72.63,77.47,0,2,3,,,,,,,,,,
39415,1,0,63.11,9999.00,0.00,6.960,83.70,82.00,56.14,84.95,0,5,9,,,,,,,,,,
37701,1,1,63.12,9999.00,2.00,6.499,85.71,78.06,66.83,82.99,1,6,1,,,,,,,,,,
49806,1,0,63.22,127.69,1.00,7.616,78.30,83.75,77.03,78.70,1,3,4,,,,,,,,,,
46439,1,0,63.25,191.19,0.00,6.900,84.35,74.53,55.72,86.93,0,6,13,,,,,,,,,,
33117,1,1,63.27,122.85,0.00,5.303,87.75,81.48,62.87,80.16,1,5,7,,,,,,,,,,
21421,1,1,63.38,9999.00,0.00,5.080,85.87,95.07,72.42,84.30,0,4,8,,,,,,,,,,
34033,1,0,63.44,140.92,2.00,6.428,84.34,65.34,68.01,84.32,1,9,1,,,,,,,,,,
42791,1,0,63.52,180.09,0.00,9.241,85.62,82.48,82.40,87.10,1,10,5,,,,,,,,,,
23037,1,0,63.61,191.16,2.00,6.587,44.78,64.68,64.67,84.71,0,4,4,,,,,,,,,,
42023,1,0,63.63,126.63,0.00,7.701,72.31,89.03,78.04,72.55,0,8,1,,,,,,,,,,
44929,0,0,63.77,236.64,0.00,6.599,86.35,88.85,70.36,74.82,1,10,16,,,,,,,,,,
21492,1,1,63.88,161.63,0.00,4.644,81.83,74.06,71.23,82.36,1,5,4,,,,,,,,,,
26691,1,1,63.91,149.48,0.00,4.895,85.27,77.75,69.30,75.60,0,5,20,,,,,,,,,,
39816,1,0,63.96,185.01,1.00,8.274,78.85,85.44,62.80,76.39,0,1,14,,,,,,,,,,
32440,1,1,64.10,158.74,0.00,4.779,89.73,84.52,71.87,86.49,0,2,7,,,,,,,,,,
20758,0,1,64.12,173.01,0.00,5.005,79.11,83.40,64.08,84.12,0,5,10,,,,,,,,,,
47007,1,1,64.13,153.72,0.00,5.551,83.71,83.97,69.37,81.64,1,6,5,,,,,,,,,,
27177,1,1,64.14,9999.00,0.00,5.974,88.15,73.14,46.66,85.12,0,7,10,,,,,,,,,,
47912,0,0,64.31,211.65,0.00,2.86,88.02,81.46,57.78,80.37,1,4,4,,,,,,,,,,
36655,0,1,64.39,194.98,0.00,5.270,81.90,81.98,73.83,73.72,0,8,6,,,,,,,,,,
22567,1,1,64.43,194.01,0.00,4.819,80.07,103.62,79.17,75.56,1,7,21.00,,,,,,,,,,
23340,1,1,64.46,134.77,0.00,6.177,75.05,88.79,85.69,83.22,0,4,8,,,,,,,,,,
37333,1,0,64.65,150.23,0.00,6.566,89.12,75.65,69.90,86.33,0,4,15,,,,,,,,,,
34019,0,0,64.66,253.22,2.00,8.45,86.16,94.94,68.78,71.93,0,10,5,,,,,,,,,,
43971,1,1,64.70,182.59,0.00,6.093,83.27,80.54,70.55,86.27,1,4,24.00,,,,,,,,,,
30418,,0,64.75,227.08,0.00,6.520,96.16,78.02,58.29,79.61,0,7,16.00,,,,,,,,,,
40313,1,1,64.78,168.88,0.00,5.584,81.33,77.14,52.83,81.41,0,3,12,,,,,,,,,,
33153,,0,64.82,199.74,0.00,7.181,76.89,84.98,75.66,87.03,1,5,3,,,,,,,,,,
30720,0,0,64.83,159.95,0.00,6.897,82.06,78.72,73.13,73.33,0,13,12,,,,,,,,,,
48295,1,0,64.87,203.55,0.00,6.895,84.41,84.50,72.06,91.38,0,3,19,,,,,,,,,,
26199,1,0,64.88,162.80,0.00,7.990,83.20,76.03,54.85,85.80,0,2,8,,,,,,,,,,
38134,0,1,64.90,194.61,0.00,4.873,84.95,81.01,62.08,71.21,1,6,5,,,,,,,,,,
22494,0,1,64.92,129.16,0.00,5.139,83.11,75.79,65.43,64.00,1,4,5,,,,,,,,,,
30337,1,1,64.95,150.39,0.00,5.619,81.75,81.38,56.27,82.77,0,4,8,,,,,,,,,,
31576,1,1,65.02,143.05,0.00,5.644,86.00,80.45,66.51,72.36,1,8,1,,,,,,,,,,
22425,1,1,65.03,9999.00,2.00,5.817,82.80,79.38,51.32,75.98,0,6,4,,,,,,,,,,
30989,1,1,65.05,153.82,0.00,7.34,90.44,87.64,82.37,63.00,0,5,1,,,,,,,,,,
28668,0,1,65.13,158.49,0.00,2.47,77.07,86.95,68.02,79.05,0,5,12,,,,,,,,,,
22029,1,1,65.17,9999.00,0.00,6.330,78.98,91.92,74.43,77.14,0,7,22,,,,,,,,,,
38764,0,1,65.21,139.95,0.00,4.661,101.95,74.45,66.80,88.50,0,4,2,,,,,,,,,,
45902,0,0,65.22,154.11,2.00,7.55,85.16,83.96,64.56,90.62,1,10,6,,,,,,,,,,
45104,0,0,65.29,167.51,0.00,7.617,80.64,82.78,60.13,86.08,1,6,1,,,,,,,,,,
42540,1,1,65.30,153.17,0.00,5.360,75.06,79.50,59.10,76.46,1,6,6,,,,,,,,,,
49137,0,1,65.37,142.54,2.00,5.941,79.81,66.57,60.05,77.09,0,7,9,,,,,,,,,,
21389,1,1,65.39,151.53,0.00,6.00,78.95,79.34,64.38,84.00,0,4,5,,,,,,,,,,
32439,1,1,65.45,149.18,0.00,5.472,91.44,96.56,76.42,87.32,0,8,7,,,,,,,,,,
28642,1,0,65.45,150.12,0.00,4.36,80.82,69.00,62.53,82.44,1,8,10,,,,,,,,,,
41762,0,1,65.45,176.93,0.00,5.234,79.18,86.06,63.77,70.28,0,4,13,,,,,,,,,,
36100,0,0,65.51,214.60,0.00,6.798,95.86,81.47,65.64,87.96,0,4,16,,,,,,,,,,
29313,0,1,65.56,162.63,1.00,5.153,86.47,85.19,64.45,79.36,1,5,3,,,,,,,,,,
43255,0,0,65.56,186.21,1.00,6.363,79.12,76.14,72.92,71.00,0,7,4,,,,,,,,,,
48309,1,0,65.62,123.84,0.00,8.55,80.59,94.70,74.54,84.25,1,10,4,,,,,,,,,,
30826,1,1,65.62,158.96,0.00,6.35,86.02,79.63,74.44,83.52,0,5,2,,,,,,,,,,
34595,1,1,65.64,151.96,0.00,5.544,93.78,83.49,66.03,77.69,1,6,4,,,,,,,,,,
27958,0,0,65.68,201.31,0.00,6.881,85.64,88.39,70.57,78.42,0,5,6,,,,,,,,,,
40619,0,0,65.70,267.88,1.00,5.537,82.24,93.34,63.28,76.00,1,4,8,,,,,,,,,,
37310,1,1,65.75,169.13,1.00,4.889,90.76,93.96,69.55,82.52,1,7,12,,,,,,,,,,
20255,1,0,65.75,9999.00,0.00,7.684,80.46,81.22,46.30,72.24,1,8,2,,,,,,,,,,
38928,1,0,65.76,190.53,1.00,7.285,79.14,69.98,50.42,83.00,0,9,10,,,,,,,,,,
31575,0,1,65.77,167.12,0.00,4.974,76.02,71.41,72.19,72.54,0,5,9,,,,,,,,,,
43402,1,0,65.81,171.38,0.00,9.247,82.11,77.55,60.62,70.67,1,4,5,,,,,,,,,,
44698,1,0,65.85,137.81,0.00,7.135,83.97,80.50,69.57,84.09,0,2,4,,,,,,,,,,
36863,1,1,65.86,154.31,0.00,5.079,89.37,82.52,60.47,89.00,0,5,9,,,,,,,,,,
45041,1,0,65.91,160.53,0.00,7.47,81.02,88.09,68.74,83.97,0,6,10,,,,,,,,,,
20243,1,0,65.99,128.40,1.00,8.097,81.96,82.52,64.05,81.58,0,3,7,,,,,,,,,,
20903,0,1,65.99,141.53,0.00,5.663,89.95,83.61,61.04,78.86,0,6,4,,,,,,,,,,
32786,1,0,66.03,211.24,0.00,6.787,82.95,83.26,68.23,82.78,0,4,11,,,,,,,,,,
32776,1,0,66.04,221.50,0.00,8.057,89.33,89.86,59.70,84.88,0,5,12,,,,,,,,,,
45762,1,0,66.04,9999.00,2.00,8.620,78.33,85.84,62.68,81.88,0,4,13,,,,,,,,,,
