density,residue,grain,calcite,dolmite,porosity
2.751,13.893,11.089,20.528,81.7,4.969
2.769,24.933,10.754,28.119,61.94,8.847
2.718,10.793,10.862,49.643,51.519,3.415
2.725,7.124,7.634,36.381,63.566,1.988
2.628,17.269,10.222,60.975,37.046,6.061
2.652,7.471,9.607,68.305,32.094,2.766
2.705,17.24,11.41,52.92,43.243,5.982
2.86,6.409,10.03,24.803,82.723,0.502
2.71,2.508,9.377,53.793,49.463,0.931
2.745,16.139,10.36,29.49,68.434,5.744
2.741,12.127,11.403,18.147,84.185,4.963
2.754,22.647,11.505,20.667,75.099,6.938
2.66,12.65,9.328,63.275,31.915,5.602
2.723,12.485,9.331,26.957,69.767,3.118
2.684,14.138,9.069,54.807,39.68,4.829
2.78,12.677,9.823,26.902,70.285,3.425
2.767,12.442,10.224,39.563,57.366,4.802
2.69,3.418,9.861,73.152,30.962,1.008
2.715,10.175,9.818,54.992,47.589,4.648
2.714,6.495,9.89,67.945,36.714,3.885
2.749,9.894,10.425,41.254,61.042,2.185
2.677,7.225,9.91,76.581,22.858,2.342
2.633,6.088,10.538,78.909,24.314,1.341
2.704,10.529,9.611,56.281,46.702,2.03
2.598,4.748,9.086,91.053,9.902,1.03
2.707,13.566,9.992,60.129,36.932,5.136
2.724,12.957,9.28,37.248,64.036,3.805
2.76,13.591,10.018,54.259,44.69,5.184
2.675,13.156,10.91,64.902,32.6,3.405
2.82,14.193,10.661,19.488,82.156,4.242
2.738,11.598,10.675,52.946,51.453,3.271
2.65,10.454,11.11,44.421,61.524,1.451
2.661,3.278,9.415,75.638,26.719,0.318
2.72,11.484,8.435,55.547,41.111,4.933
2.774,3.671,11.454,43.178,64.636,0.143
2.774,14.008,9.928,17.063,82.479,4.52
2.829,7.158,9.251,31.344,71.12,1.1
2.693,13.352,9.338,47.98,49.04,4.369
2.677,7.685,10.309,66.289,30.74,1.631
2.738,9.71,10.988,53.783,46.782,2.833
2.694,19.036,10.643,33.22,64.053,6.674
2.692,12.462,9.251,62.356,36.263,4.714
2.678,16.485,10.178,45.621,53.174,5.509
2.818,12.662,9.094,24.62,73.177,3.627
2.667,12.506,9.708,52.873,44.236,4.666
2.723,7.209,9.008,39.82,62.033,1.663
2.651,14.177,7.574,67.436,25.684,5.217
2.728,15.902,9.383,48.711,48.258,4.325
