body,brain
0.3151,7e-4
4.0734,32.2097
0.5214,0.0477
3.9357,4.1479
1.3096,0.0915
54.3866,21.4743
146.6432,389.0927
1.4632,11.3859
0.0868,0.037
1.6116,0.1516
22.2828,46.6729
1.5977,0.0921
187.2791,2.5129
6621.4149,5989.7256
74.3383,32.8198
0.1567,0.0013
4.3002,6.6457
200.9574,21.9579
35.2229,16.3793
700.5746,43.5451
0.053900000000000003,0.011
18.9395,2.9661
7.7586,1.5067
408.1383,878.2512
16.3893,2.1885
1.8565,0.2758
2032.7176,1538.0762
3.7165,1.6721
0.563,0.3018
0.1103,0.2243
12.2551,0.0239
27.881,0.0513
2.0078,0.1058
7.8698,14.7708
2.9229,0.0235
11.0022,0.1839
0.805,0.9313
0.1692,0.0072
4.3039,181.6573
31.3228,1.6636
24.666,1.0067
1.7869,0.2369
1.4433,1.1128
20.5501,0.0611
4.4973,1.4852
1286.6108,46.2568
3.4597,0.1511
396.57,815.3568
18.1856,0.3121
0.914,1.3412
12.5765,2.342
4.2173,0.321
0.3796,0.0049
168.9871,86.9008
214.4651,32.1124
10.5969,0.0242
39.1231,8.3537
3687.6314,11.1103
0.528,0.0236
16.8787,0.1458
3.8107,0.0018
0.1716,1.3682
0.2932,77.987
6.8894,0.0117
11.168,0.4851
23.4336,1.496
7.3176,7.728
11.8013,96.386
0.6452,0.0948
0.3134,0.0232
